instrument,level_id,timing_bin,n
ES,upper_N20_median_k2,MINUTES_31_TO_60,94
ES,upper_N20_median_k2,MINUTES_61_TO_120,80
ES,upper_N20_median_k2,MINUTES_6_TO_15,190
ES,upper_N20_median_k3,BAR_0930,43
ES,upper_N20_median_k3,MINUTES_16_TO_30,125
ES,upper_N20_median_k3,MINUTES_2_TO_5,255
ES,upper_N20_median_k3,MINUTES_31_TO_60,118
ES,upper_N20_median_k3,MINUTES_61_TO_120,96
ES,upper_N20_median_k3,MINUTES_6_TO_15,225
ES,upper_N5_ema_k0,BAR_0930,562
ES,upper_N5_ema_k0,MINUTES_16_TO_30,52
ES,upper_N5_ema_k0,MINUTES_2_TO_5,303
ES,upper_N5_ema_k0,MINUTES_31_TO_60,48
ES,upper_N5_ema_k0,MINUTES_61_TO_120,42
ES,upper_N5_ema_k0,MINUTES_6_TO_15,136
ES,upper_N5_ema_k1,BAR_0930,274
ES,upper_N5_ema_k1,MINUTES_16_TO_30,103
ES,upper_N5_ema_k1,MINUTES_2_TO_5,359
ES,upper_N5_ema_k1,MINUTES_31_TO_60,74
ES,upper_N5_ema_k1,MINUTES_61_TO_120,56
ES,upper_N5_ema_k1,MINUTES_6_TO_15,180
ES,upper_N5_ema_k2,BAR_0930,141
ES,upper_N5_ema_k2,MINUTES_16_TO_30,122
ES,upper_N5_ema_k2,MINUTES_2_TO_5,317
ES,upper_N5_ema_k2,MINUTES_31_TO_60,104
ES,upper_N5_ema_k2,MINUTES_61_TO_120,74
ES,upper_N5_ema_k2,MINUTES_6_TO_15,208
ES,upper_N5_ema_k3,BAR_0930,71
ES,upper_N5_ema_k3,MINUTES_16_TO_30,130
ES,upper_N5_ema_k3,MINUTES_2_TO_5,254
ES,upper_N5_ema_k3,MINUTES_31_TO_60,121
ES,upper_N5_ema_k3,MINUTES_61_TO_120,89
ES,upper_N5_ema_k3,MINUTES_6_TO_15,225
ES,upper_N5_mean_k0,BAR_0930,567
ES,upper_N5_mean_k0,MINUTES_16_TO_30,55
ES,upper_N5_mean_k0,MINUTES_2_TO_5,308
ES,upper_N5_mean_k0,MINUTES_31_TO_60,44
ES,upper_N5_mean_k0,MINUTES_61_TO_120,38
ES,upper_N5_mean_k0,MINUTES_6_TO_15,134
ES,upper_N5_mean_k1,BAR_0930,267
ES,upper_N5_mean_k1,MINUTES_16_TO_30,102
ES,upper_N5_mean_k1,MINUTES_2_TO_5,363
ES,upper_N5_mean_k1,MINUTES_31_TO_60,78
ES,upper_N5_mean_k1,MINUTES_61_TO_120,59
ES,upper_N5_mean_k1,MINUTES_6_TO_15,183
ES,upper_N5_mean_k2,BAR_0930,140
ES,upper_N5_mean_k2,MINUTES_16_TO_30,124
ES,upper_N5_mean_k2,MINUTES_2_TO_5,317
ES,upper_N5_mean_k2,MINUTES_31_TO_60,101
ES,upper_N5_mean_k2,MINUTES_61_TO_120,74
